DisplayName;team;position;underposition;sessionDate;sessionType;allMaxSpeed;distanceTotal;distanceZ5Abs;distanceZ6Abs;maxSpeed;totalTime;entriesZ6Abs;Saison;
JOUEUR 12;U17;Milieu;Milieu Defensif;07/01/2025;Match Day -4;33,13;4644,434342;24,22275822;0;6,49444964;3346,899999;0;2024 - 2025;
JOUEUR 13;U17;Milieu;Milieu Defensif;07/01/2025;Match Day -4;30,29;4849,27115;22,25234148;0;6,40556068;3346,899999;0;2024 - 2025;
JOUEUR 11;U17;Defenseur;Lateral Droit;07/01/2025;Match Day -4;33,2;4601,770906;17,95371553;0;6,34444952;3346,899999;0;2024 - 2025;
JOUEUR 08;U17;Defenseur;Central Centre;29/07/2023;Pre saison;34,6;5529,052523;2,23197996;0;5,59043361;3346,400002;0;2023 - 2024;
JOUEUR 07;U19;Milieu;Milieu Offensif;30/01/2024;Match Day +3;32,83;5262,686507;28,964401;0;6,36944954;3345,000003;0;2023 - 2024;
JOUEUR 05;U19;Attaquant;Avant Centre;30/01/2024;Match Day +3;34,58;4805,506264;8,02357051;0;6,11389378;3345,000003;0;2023 - 2024;
JOUEUR 02;Pro2;Milieu;;22/08/2025;Match Day -1;32,8;4298,404892;15,59923678;0;6,57778304;3344,999993;0;2025 - 2026;
JOUEUR 09;Pro2;Defenseur;Central Centre;22/08/2025;Match Day -1;32,7;3561,610566;25,25423033;0;6,53333856;3344,999993;0;2025 - 2026;
JOUEUR 10;Pro2;Attaquant;Attaquant;22/08/2025;Match Day -1;37,37;3763,264487;26,80755215;0;6,31389394;3344,999993;0;2025 - 2026;
JOUEUR 04;Pro2;Attaquant;;03/02/2024;Treve;36,3;3327,500779;0;0;5,02500402;3343,199996;0;2023 - 2024;
JOUEUR 10;Pro2;Attaquant;Attaquant;12/08/2024;Pre saison;37,37;4590,497302;0;0;7,21667244;3341,300009;0;2024 - 2025;
JOUEUR 02;Pro2;Milieu;;12/08/2024;Pre saison;32,8;4043,801313;30,32170137;0;6,61944974;3341,300009;0;2024 - 2025;
JOUEUR 11;U17;Defenseur;Lateral Droit;19/08/2025;Match Day -5;33,2;3936,921789;27,8277743;0;6,50278298;3326,799996;0;2025 - 2026;
JOUEUR 08;U17;Defenseur;Central Centre;19/08/2025;Match Day -5;34,6;4438,488011;9,74981216;0;6,17222716;3326,799996;0;2025 - 2026;
JOUEUR 02;Pro2;Milieu;;06/09/2024;Match Day -1;32,8;4675,618922;32,83302848;0;6,5972275;3326,100002;0;2024 - 2025;
JOUEUR 12;U17;Milieu;Milieu Defensif;15/12/2023;Match Day -1;33,13;4084,079625;1,72198423;0;5,83889356;3324,200005;0;2023 - 2024;
