DisplayName;team;position;underposition;sessionDate;sessionType;allMaxSpeed;distanceTotal;distanceZ5Abs;distanceZ6Abs;maxSpeed;totalTime;entriesZ6Abs;Saison;
JOUEUR 09;Pro2;Defenseur;Central Centre;09/01/2024;Match Day +3;32,7;5544,510264;9,86661384;0;6,08889376;3115,299995;0;2023 - 2024;
JOUEUR 06;U19;Attaquant;Aillier Droit;09/01/2024;Match Day +3;33,9;5361,058194;0,56032097;0;5,60278226;3115,299995;0;2023 - 2024;
JOUEUR 04;Pro2;Attaquant;;09/01/2024;Match Day +3;36,3;5871,00243;0;0;5,5000044;3115,299995;0;2023 - 2024;
JOUEUR 14;U19;Milieu;Milieu Axial;09/01/2024;Match Day +3;33;5698,045103;0;0;5,29444868;3115,299995;0;2023 - 2024;
JOUEUR 05;U19;Attaquant;Avant Centre;09/01/2024;Match Day +3;34,58;5343,535131;0;0;5,1944486;3115,299995;0;2023 - 2024;
JOUEUR 08;U17;Defenseur;Central Centre;18/12/2023;Match Day +2;34,6;3983,134808;18,14227421;0;6,23056054;3115,000005;0;2023 - 2024;
JOUEUR 11;U17;Defenseur;Lateral Droit;18/12/2023;Match Day +2;33,2;4481,862074;16,59338787;0;5,94167142;3115,000005;0;2023 - 2024;
JOUEUR 12;U17;Milieu;Milieu Defensif;18/12/2023;Match Day +2;33,13;3614,322323;0;0;5,26667088;3115,000005;0;2023 - 2024;
JOUEUR 10;Pro2;Attaquant;Attaquant;18/10/2024;Match Day -1;37,37;3374,344582;74,7262197;0;6,86944994;3114,500008;0;2024 - 2025;
JOUEUR 11;U17;Defenseur;Lateral Droit;15/02/2025;Match Day -1;33,2;4442,329523;191,0824533;0;6,47500518;3113,999994;0;2024 - 2025;
JOUEUR 13;U17;Milieu;Milieu Defensif;21/08/2023;Pre saison;30,29;5101,727459;4,13108834;0;6,3472273;3112,000001;0;2023 - 2024;
JOUEUR 08;U17;Defenseur;Central Centre;21/08/2023;Pre saison;34,6;4980,239682;35,0761755;0;6,54444968;3112,000001;0;2023 - 2024;
JOUEUR 05;U19;Attaquant;Avant Centre;21/08/2023;Pre saison;34,58;4217,080022;21,47863927;0;6,34444952;3112,000001;0;2023 - 2024;
JOUEUR 15;U19;Milieu;Milieu Axial;21/08/2023;Pre saison;33,2;5037,565535;4,72525196;0;6,31389394;3111,900001;0;2023 - 2024;
JOUEUR 04;Pro2;Attaquant;;17/08/2023;Pre saison;36,3;5715,755802;185,3276158;0;6,23056054;3109,999994;0;2023 - 2024;
JOUEUR 12;U17;Milieu;Milieu Defensif;21/08/2023;Pre saison;33,13;4465,312323;16,06496639;0;6,85556104;3109,200009;0;2023 - 2024;
JOUEUR 04;Pro2;Attaquant;;21/08/2023;Pre saison;36,3;4504,428529;42,30001564;0;6,32778284;3109,200009;0;2023 - 2024;
JOUEUR 11;U17;Defenseur;Lateral Droit;03/02/2024;Treve;33,2;3827,725163;0;0;5,46667104;3109,1;0;2023 - 2024;
JOUEUR 13;U17;Milieu;Milieu Defensif;15/10/2024;Match Day +2;30,29;3611,794984;15,15330941;0;6,94167222;3108,699994;0;2024 - 2025;
JOUEUR 08;U17;Defenseur;Central Centre;15/10/2024;Match Day +2;34,6;3720,924844;90,10332028;0;6,83611658;3108,699994;0;2024 - 2025;
JOUEUR 01;U17;Attaquant;Aillier Gauche;15/10/2024;Match Day +2;33,7;3520,552142;9,3841671;0;6,39722734;3108,699994;0;2024 - 2025;
JOUEUR 11;U17;Defenseur;Lateral Droit;15/10/2024;Match Day +2;33,2;3371,554543;11,73781377;0;6,20556052;3108,699994;0;2024 - 2025;
JOUEUR 12;U17;Milieu;Milieu Defensif;15/10/2024;Match Day +2;33,13;3606,02722;6,30190816;0;5,85556024;3108,699994;0;2024 - 2025;
JOUEUR 14;U19;Milieu;Milieu Axial;21/08/2023;Pre saison;33;4681,470997;11,82059176;0;6,4583385;3107,000015;0;2023 - 2024;
JOUEUR 11;U17;Defenseur;Lateral Droit;21/08/2023;Pre saison;33,2;4442,323004;23,24025238;0;6,43889404;3107,000015;0;2023 - 2024;
JOUEUR 01;U17;Attaquant;Aillier Gauche;21/08/2023;Pre saison;33,7;4858,387813;30,18019442;0;6,23333832;3107,000015;0;2023 - 2024;
JOUEUR 07;U19;Milieu;Milieu Offensif;21/08/2023;Pre saison;32,83;5084,409728;7,99695212;0;5,96667144;3107,000015;0;2023 - 2024;
JOUEUR 08;U17;Defenseur;Central Centre;15/11/2024;Match Day -1;34,6;3515,726534;57,06564123;0;6,5694497;3105,000026;0;2024 - 2025;
JOUEUR 11;U17;Defenseur;Lateral Droit;15/11/2024;Match Day -1;33,2;2973,590675;48,24000862;0;6,88611662;3101,200015;0;2024 - 2025;
JOUEUR 12;U17;Milieu;Milieu Defensif;23/09/2025;Match Day +3;33,13;3860,435767;10,31249168;0;5,96667144;3093,600004;0;2025 - 2026;
JOUEUR 13;U17;Milieu;Milieu Defensif;21/11/2023;Match Day +2;30,29;4726,67181;2,28332278;0;5,83611578;3092,800009;0;2023 - 2024;
JOUEUR 11;U17;Defenseur;Lateral Droit;22/09/2023;Match Day -1;33,2;4907,266355;7,56690574;0;6,47500518;3091,100002;0;2023 - 2024;
JOUEUR 09;Pro2;Defenseur;Central Centre;18/08/2023;Pre saison;32,7;2515,288383;21,08893384;0;6,32778284;3087,600008;0;2023 - 2024;
JOUEUR 10;Pro2;Attaquant;Attaquant;22/02/2024;Match Day -2;37,37;2198,939473;43,95062189;0;6,86944994;3086,29999;0;2023 - 2024;
JOUEUR 09;Pro2;Defenseur;Central Centre;22/02/2024;Match Day -2;32,7;2806,214333;15,04191642;0;6,84444992;3086,29999;0;2023 - 2024;
JOUEUR 14;U19;Milieu;Milieu Axial;08/08/2024;Pre saison;33;6214,540133;1007,082185;0;6,71389426;3085,999992;0;2024 - 2025;
JOUEUR 01;U17;Attaquant;Aillier Gauche;19/07/2024;Pre saison;33,7;3273,86258;24,09057159;0;6,58611638;3085,799992;0;2024 - 2025;
JOUEUR 12;U17;Milieu;Milieu Defensif;19/07/2024;Pre saison;33,13;3167,343359;12,8741961;0;6,58611638;3085,799992;0;2024 - 2025;
JOUEUR 13;U17;Milieu;Milieu Defensif;19/07/2024;Pre saison;30,29;3476,535398;9,82027836;0;6,0833382;3085,799992;0;2024 - 2025;
JOUEUR 08;U17;Defenseur;Central Centre;19/07/2024;Pre saison;34,6;3883,231433;3,38836314;0;5,75833794;3085,799992;0;2024 - 2025;
JOUEUR 05;U19;Attaquant;Avant Centre;10/01/2024;Match Day -3;34,58;2411,774997;15,02496778;0;6,4861163;3082,099999;0;2023 - 2024;
JOUEUR 01;U17;Attaquant;Aillier Gauche;10/01/2024;Match Day -3;33,7;2313,524359;17,58773337;0;6,25278278;3082,099999;0;2023 - 2024;
JOUEUR 14;U19;Milieu;Milieu Axial;10/01/2024;Match Day -3;33;2123,066444;0;0;4,85000388;3082,099999;0;2023 - 2024;
JOUEUR 06;U19;Attaquant;Aillier Droit;02/08/2024;Pre saison;33,9;4224,758743;62,20546877;0;6,72778316;3076,699999;0;2024 - 2025;
JOUEUR 07;U19;Milieu;Milieu Offensif;02/08/2024;Pre saison;32,83;4094,714329;9,17476886;0;6,13333824;3076,699999;0;2024 - 2025;
JOUEUR 08;U17;Defenseur;Central Centre;16/08/2024;Pre saison;34,6;4345,841899;62,44830515;0;6,66944978;3074,699996;0;2024 - 2025;
JOUEUR 12;U17;Milieu;Milieu Defensif;16/08/2024;Pre saison;33,13;3600,731136;35,41721736;0;6,26111612;3074,699996;0;2024 - 2025;
JOUEUR 02;Pro2;Milieu;;05/04/2024;Match Day -2;32,8;4479,333133;36,85023079;0;6,91389442;3074,1;0;2023 - 2024;
JOUEUR 10;Pro2;Attaquant;Attaquant;05/04/2024;Match Day -2;37,37;3530,172845;45,23595394;0;6,79722766;3074,1;0;2023 - 2024;
JOUEUR 09;Pro2;Defenseur;Central Centre;05/04/2024;Match Day -2;32,7;3476,988401;4,04391825;0;6,02222704;3074,1;0;2023 - 2024;
JOUEUR 08;U17;Defenseur;Central Centre;06/10/2023;Match Day -1;34,6;4320,370962;54,86611387;0;6,76944986;3073,200003;0;2023 - 2024;
JOUEUR 05;U19;Attaquant;Avant Centre;06/10/2023;Match Day -1;34,58;3985,534468;20,2645255;0;6,35833842;3073,200003;0;2023 - 2024;
JOUEUR 15;U19;Milieu;Milieu Axial;29/08/2025;Match Day -1;33,2;3248,075055;23,18608752;0;6,60278306;3071,799987;;2025 - 2026;
JOUEUR 01;U17;Attaquant;Aillier Gauche;02/10/2023;Match Day +2;33,7;5574,898619;401,6214995;0;6,81389434;3071,499981;0;2023 - 2024;
JOUEUR 15;U19;Milieu;Milieu Axial;02/10/2023;Match Day +2;33,2;5587,840763;634,1052296;0;6,67778312;3071,499981;0;2023 - 2024;
JOUEUR 13;U17;Milieu;Milieu Defensif;02/10/2023;Match Day +2;30,29;5909,104678;480,4598276;0;6,63056086;3071,499981;0;2023 - 2024;
JOUEUR 11;U17;Defenseur;Lateral Droit;11/03/2024;Match Day +2;33,2;3717,680069;7,58062103;0;6,6250053;3071,200018;0;2023 - 2024;
JOUEUR 12;U17;Milieu;Milieu Defensif;11/03/2024;Match Day +2;33,13;3602,601729;0;0;5,28889312;3071,200018;0;2023 - 2024;
JOUEUR 02;Pro2;Milieu;;25/09/2023;Match Day +2;32,8;4623,918419;93,42204194;0;6,76667208;3069,299987;0;2023 - 2024;
JOUEUR 11;U17;Defenseur;Lateral Droit;08/01/2024;Match Day +2;33,2;4722,440884;0;0;4,78889272;3064,5;0;2023 - 2024;
JOUEUR 12;U17;Milieu;Milieu Defensif;08/01/2024;Match Day +2;33,13;4638,905575;0;0;4,6805593;3064,5;0;2023 - 2024;
JOUEUR 08;U17;Defenseur;Central Centre;08/01/2024;Match Day +2;34,6;4800,936008;0;0;4,6666704;3064,5;0;2023 - 2024;
JOUEUR 12;U17;Milieu;Milieu Defensif;26/11/2024;Match Day +3;33,13;4202,729738;30,79298706;0;6,84167214;3064,499984;0;2024 - 2025;
JOUEUR 13;U17;Milieu;Milieu Defensif;26/11/2024;Match Day +3;30,29;4467,157905;19,39866003;0;6,41944958;3064,499984;0;2024 - 2025;
JOUEUR 14;U19;Milieu;Milieu Axial;16/03/2024;Match Day -1;33;3428,193742;63,36196665;0;6,91389442;3062,599995;0;2023 - 2024;
JOUEUR 15;U19;Milieu;Milieu Axial;16/03/2024;Match Day -1;33,2;3045,317172;13,79713895;0;6,77500542;3062,599995;0;2023 - 2024;
JOUEUR 07;U19;Milieu;Milieu Offensif;16/03/2024;Match Day -1;32,83;3313,8162;3,05081923;0;6,20278274;3062,599995;0;2023 - 2024;
JOUEUR 06;U19;Attaquant;Aillier Droit;16/03/2024;Match Day -1;33,9;2849,32547;15,20746746;0;7,37222812;3062,599995;0;2023 - 2024;
JOUEUR 04;Pro2;Attaquant;;16/03/2024;Match Day -1;36,3;3189,061418;2,45692924;0;6,26111612;3062,599995;0;2023 - 2024;
JOUEUR 08;U17;Defenseur;Central Centre;03/05/2025;Match Day -1;34,6;3654,919214;49,22748476;0;6,70000536;3062,09998;0;2024 - 2025;
JOUEUR 13;U17;Milieu;Milieu Defensif;03/05/2025;Match Day -1;30,29;3417,502461;9,16449157;0;6,0416715;3062,09998;0;2024 - 2025;
JOUEUR 12;U17;Milieu;Milieu Defensif;10/09/2025;Match Day +3;33,13;4405,083267;74,0546221;0;6,85833882;3059,999992;0;2025 - 2026;
JOUEUR 11;U17;Defenseur;Lateral Droit;26/07/2024;Pre saison;33,2;1860,514442;11,92881947;0;5,90000472;3058,599994;0;2024 - 2025;
